0.109015,0.000670,-0.000024,-0.000001,-0.000071,0.120350,0.992732
0.217697,0.033501,0.000046,-0.000111,0.000356,0.163763,0.986500
0.316283,0.069321,0.000054,-0.000126,0.000226,0.196882,0.980427
0.420370,0.117047,0.000089,-0.000049,0.000460,0.241131,0.970492
0.507600,0.167404,0.000059,-0.000088,0.000709,0.290504,0.956874
0.601785,0.242116,-0.000103,-0.000075,0.000224,0.369184,0.929356
0.678347,0.315852,-0.000063,-0.000365,0.000577,0.410218,0.911987
0.755910,0.413853,0.000030,0.000017,0.000106,0.451845,0.892096
0.815684,0.500136,-0.000021,-0.000118,0.000354,0.475392,0.879774
0.873408,0.588905,0.000006,-0.000260,0.000593,0.491876,0.870665
0.928017,0.674993,0.000096,-0.000377,0.000313,0.497619,0.867395
0.978988,0.761180,-0.000137,-0.000141,0.000092,0.504277,0.863542
1.026757,0.851038,-0.000068,0.000096,0.000189,0.513985,0.857799
1.074675,0.944310,0.000248,-0.000150,0.000249,0.508689,0.860950
1.127445,1.033913,0.000302,-0.000137,-0.000093,0.501073,0.865405
1.181300,1.123276,0.000172,-0.000065,-0.000215,0.493508,0.869741
1.235493,1.211683,0.000224,-0.000119,0.000334,0.484065,0.875032
1.290767,1.301793,0.000293,-0.000080,0.000100,0.478313,0.878190
1.347768,1.396014,0.000472,0.000191,-0.000185,0.475285,0.879832
1.403656,1.481961,0.000420,-0.000096,-0.000016,0.469046,0.883174
1.459479,1.567362,0.000162,0.000054,-0.000146,0.465132,0.885241
1.514882,1.655444,0.000075,0.000099,0.000257,0.467284,0.884107
1.583583,1.750017,0.000246,0.000092,-0.000295,0.467529,0.883978
1.645126,1.839736,0.000606,0.000168,-0.000059,0.464659,0.885490
1.697851,1.927697,0.000330,0.000189,-0.000299,0.463913,0.885881
1.760248,2.012104,0.000222,0.000052,0.000162,0.450196,0.892930
1.827861,2.088467,-0.000030,0.000029,0.000003,0.251859,0.967764
1.923463,2.135757,0.000030,0.000210,-0.000191,0.190558,0.981676
2.028808,2.172158,0.000110,0.000038,0.000238,0.141805,0.989895
2.130266,2.198926,0.000129,-0.000049,-0.000022,0.107931,0.994158
2.246871,2.221988,0.000185,0.000138,-0.000066,0.086077,0.996288
2.371307,2.238667,0.000474,0.000085,-0.000447,0.049625,0.998768
2.486447,2.245103,0.000684,0.000177,-0.000217,0.025133,0.999684
2.602933,2.244683,0.000199,0.000121,-0.000423,-0.005940,0.999982
2.706944,2.242907,0.000481,0.000100,-0.000366,-0.037956,0.999279
2.812913,2.236512,0.000292,0.000009,0.000125,-0.076059,0.997103
2.909288,2.198736,0.000003,0.000073,-0.000355,-0.338992,0.940789
